cluster_id,size,dominant_label,purity,entropy,dominant_subtype
0,31,Benign,0.9032258064516129,0.45868581620054033,Tubular Adenoma
1,58,Benign,1.0,0.0,Tubular Adenoma
2,91,Benign,0.989010989010989,0.08728058888363333,Fibroadenoma
3,45,Malignant,0.9555555555555556,0.2623112196143366,Ductal Carcinoma
4,131,Malignant,0.9618320610687023,0.23382826233572285,Lobular Carcinoma
5,34,Benign,1.0,0.0,Adenosis
6,103,Benign,0.7184466019417476,0.857558799850773,Tubular Adenoma
7,100,Benign,0.63,0.950672092687066,Phyllodes Tumor
8,56,Benign,0.9464285714285714,0.3013786435930858,Fibroadenoma
9,38,Benign,0.7894736842105263,0.7424875695421236,Fibroadenoma
10,32,Benign,1.0,0.0,Tubular Adenoma
11,58,Benign,0.9137931034482759,0.4236805715709106,Fibroadenoma
12,44,Benign,0.8863636363636364,0.5107878229540133,Tubular Adenoma
13,93,Benign,0.7096774193548387,0.869137580612638,Fibroadenoma
14,65,Benign,0.9692307692307692,0.19823496409776625,Fibroadenoma
15,76,Benign,0.9868421052631579,0.10106696361212417,Fibroadenoma
16,133,Benign,0.9849624060150376,0.11258759940039272,Fibroadenoma
17,56,Malignant,0.9642857142857143,0.22228483068568797,Ductal Carcinoma
18,36,Benign,0.9444444444444444,0.3095434291503252,Fibroadenoma
19,30,Benign,0.9666666666666667,0.21084230031853216,Fibroadenoma
20,57,Malignant,0.9649122807017544,0.21929730813217538,Ductal Carcinoma
21,55,Malignant,0.7636363636363637,0.7889406572966208,Mucinous Carcinoma
22,34,Malignant,1.0,0.0,Ductal Carcinoma
23,81,Malignant,0.8518518518518519,0.6051865766334205,Ductal Carcinoma
24,65,Malignant,0.9538461538461539,0.26982844770307396,Ductal Carcinoma
25,34,Malignant,0.9411764705882353,0.3227569588973983,Ductal Carcinoma
26,36,Malignant,0.9722222222222222,0.1831220683013728,Ductal Carcinoma
27,96,Benign,0.9583333333333334,0.24988229283318544,Tubular Adenoma
28,113,Malignant,0.6460176991150443,0.9375743907892077,Ductal Carcinoma
29,45,Malignant,0.8888888888888888,0.5032583347756457,Ductal Carcinoma
30,48,Benign,0.7083333333333334,0.8708644692353646,Fibroadenoma
31,82,Malignant,0.5365853658536586,0.9961344835095797,Adenosis
32,94,Malignant,0.9468085106382979,0.2998025130558692,Ductal Carcinoma
33,93,Malignant,0.6881720430107527,0.8952722642402938,Ductal Carcinoma
34,122,Malignant,0.8852459016393442,0.5140912790181236,Ductal Carcinoma
35,65,Malignant,0.8307692307692308,0.6559420757694149,Ductal Carcinoma
36,36,Malignant,0.5555555555555556,0.9910760598382222,Adenosis
37,37,Malignant,0.9459459459459459,0.30337483608641397,Ductal Carcinoma
38,53,Malignant,0.9433962264150944,0.3138129641688651,Ductal Carcinoma
39,47,Malignant,0.9574468085106383,0.2538784402981616,Ductal Carcinoma
40,152,Malignant,0.5789473684210527,0.9819407868640977,Adenosis
41,37,Malignant,0.8108108108108109,0.6997722217733069,Papillary Carcinoma
42,74,Malignant,0.9459459459459459,0.30337483608641397,Ductal Carcinoma
43,35,Malignant,0.9428571428571428,0.3159971329784247,Ductal Carcinoma
44,36,Malignant,0.9722222222222222,0.1831220683013728,Ductal Carcinoma
45,32,Malignant,0.84375,0.6252624052234231,Ductal Carcinoma
46,71,Malignant,0.5633802816901409,0.9883779727795042,Tubular Adenoma
47,58,Malignant,1.0,0.0,Ductal Carcinoma
48,39,Malignant,0.9743589743589743,0.17203694935311378,Ductal Carcinoma
49,89,Malignant,0.9325842696629213,0.3562048039313226,Ductal Carcinoma
50,56,Malignant,0.9464285714285714,0.3013786435930858,Ductal Carcinoma
51,38,Malignant,0.9736842105263158,0.17556502585750278,Ductal Carcinoma
52,102,Malignant,0.8529411764705882,0.6024308020404453,Ductal Carcinoma
53,76,Malignant,0.5263157894736842,0.9980008838722995,Mucinous Carcinoma
54,56,Malignant,0.9107142857142857,0.43408112000433463,Ductal Carcinoma
55,60,Malignant,0.9333333333333333,0.3533593350214213,Ductal Carcinoma
56,31,Malignant,0.9354838709677419,0.34511731494495296,Ductal Carcinoma
57,79,Malignant,0.9746835443037974,0.17033057560105985,Ductal Carcinoma
58,46,Malignant,1.0,0.0,Ductal Carcinoma
59,40,Malignant,0.875,0.5435644431995964,Ductal Carcinoma
60,37,Malignant,0.972972972972973,0.17925606692832147,Ductal Carcinoma
61,97,Malignant,0.9690721649484536,0.19902377455969078,Ductal Carcinoma
62,42,Malignant,0.9761904761904762,0.1623261801753929,Ductal Carcinoma
63,94,Malignant,0.9787234042553191,0.14854949043034824,Ductal Carcinoma
64,45,Malignant,0.8888888888888888,0.5032583347756457,Ductal Carcinoma
